,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
55,1954,MLH,1004.9,2981.4,4.3351500000000005,0.0,0.0,0.0,937.2,2903.4,3.87555,3.4227,866.4,1373.05,0.0,0.0,1908.65,662.9000000000001,0.0,0.0,0.0,1220.15,3568.7999999999997,378.0,False
56,1954,MNL,1306.0,3215.6,2.626,0.0,0.0,0.0,1285.6000000000001,3568.5,2.3411500000000003,2.0707999999999998,939.9,1410.0,0.0,0.0,2339.15,695.8,0.0,0.0,0.0,1372.2,4196.7,342.0,True
57,1954,NYK,1101.4,2934.5,2.9538,0.0,0.0,0.0,1033.2,2942.2,2.5839,2.3113,1039.9,1607.65,0.0,0.0,2108.4,803.4000000000001,0.0,0.0,0.0,1245.1000000000001,4023.5499999999997,392.0,True
58,1954,PHW,1308.6000000000001,3098.6000000000004,2.3701499999999998,0.0,0.0,0.0,1256.0,3498.0,2.0410500000000003,1.7844,1003.5,1573.3000000000002,0.0,0.0,2112.4,878.2,0.0,0.0,0.0,1200.0,4005.9,266.0,False
59,1954,ROC,1246.7,3253.5,3.26255,0.0,0.0,0.0,1137.4,3304.9,2.9417,2.7083,1082.6,1661.05,0.0,0.0,2031.85,834.2,0.0,0.0,0.0,1306.3,4104.349999999999,290.0,True
60,1954,SYR,1274.0,3309.2,3.3636,0.0,0.0,0.0,1176.6,3471.4,2.902,2.5012,1199.4,1797.95,0.0,0.0,2183.6000000000004,841.4000000000001,0.0,0.0,0.0,1281.5,4278.349999999999,324.0,True
62,1955,BLB,283.5,738.6,3.2295000000000003,0.0,0.0,0.0,286.8,834.2,3.0258000000000003,2.8396,249.2,359.1,0.0,0.0,401.85,191.2,0.0,0.0,0.0,232.75,840.85,136.0,False
63,1955,BOS,1578.5,3877.3,2.8164,0.0,0.0,0.0,1455.6000000000001,3934.2,2.44735,2.1252,1301.2,1794.7,0.0,0.0,2481.45,1053.4,0.0,0.0,0.0,1291.4,5198.349999999999,284.0,True
64,1955,FTW,1323.0,3365.1,3.13545,0.0,0.0,0.0,1277.4,3425.1,2.7236000000000002,2.3458,1156.3,1739.25,0.0,0.0,2210.25,939.0,0.0,0.0,0.0,1221.0,4687.25,270.0,True
65,1955,MLH,1294.2,3435.3,3.21795,0.0,0.0,0.0,1226.4,3538.8,2.78225,2.4152,1070.4,1686.3,0.0,0.0,2379.5,765.3000000000001,0.0,0.0,0.0,1317.05,4441.75,380.0,False
66,1955,MNL,1479.6,3647.5,2.9913,0.0,0.0,0.0,1410.4,3790.9,2.598,2.2765,1080.5,1603.4,0.0,0.0,2264.1,813.2,0.0,0.0,0.0,1324.7,4875.599999999999,308.0,True
67,1955,NYK,1412.6,3550.3,4.13895,0.0,0.0,0.0,1340.2,3640.0,3.7986000000000004,3.5023,1096.2,1693.1000000000001,0.0,0.0,2535.3500000000004,1005.3000000000001,0.0,0.0,0.0,1118.9,4746.45,408.0,True
68,1955,PHW,1432.9,3550.0,3.3105,0.0,0.0,0.0,1378.8,3808.9,2.8801,2.5465,1172.4,1757.45,0.0,0.0,2500.15,979.9,0.0,0.0,0.0,1190.9,4754.65,408.0,False
